system,alerts,frauds_caught,missed_frauds,false_positives,precision,recall,missed_fraud_cost,fraud_loss_prevented,investigation_cost_total,total_operational_cost,queue_efficiency,false_positive_rate_in_queue,cost_diff_vs_static,recall_diff_vs_static
adaptive_decision_system,144,8,1,136,0.0556,0.8889,416001.33,2600655.54,1440.0,417441.33,0.0556,0.9444,-22805.0,0.3333
static_threshold,113,5,4,108,0.0442,0.5556,439116.33,2577540.54,1130.0,440246.33,0.0442,0.9558,0.0,0.0
adaptive_decision_system,372,14,2,358,0.0376,0.875,548843.97,3191403.04,3720.0,552563.97,0.0376,0.9624,-47496.46,0.25
adaptive_decision_system,1020,64,4,956,0.0627,0.9412,576251.97,35699275.46,10200.0,586451.97,0.0627,0.9373,-292217.36,0.2353
static_threshold,303,10,6,293,0.033,0.625,597030.43,3143216.58,3030.0,600060.43,0.033,0.967,0.0,0.0
static_threshold,736,48,20,688,0.0652,0.7059,871309.33,35404218.1,7360.0,878669.33,0.0652,0.9348,0.0,0.0
adaptive_decision_system,5346,88,12,5258,0.0165,0.88,2592249.32,54801522.52,53460.0,2645709.32,0.0165,0.9835,-303518.53,0.19
static_threshold,3819,69,31,3750,0.0181,0.69,2911037.85,54482733.99,38190.0,2949227.85,0.0181,0.9819,0.0,0.0
